group,object,title
WBS: ОКС 1376П - Куст-80.2.2.1.15 Блок напорной гребенки (АС),"[['WBS: ОКС 1376П - Куст-80.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.2.2 2-подэтап', 'WBS: ОКС 1376П - Куст-80.2.2.1.15 Блок напорной гребенки (АС)']]",2
"WBS: ОКС 1376П - Куст-80.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)","[['WBS: ОКС 1376П - Куст-80.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.2.1 1-подэтап', 'WBS: ОКС 1376П - Куст-80.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)']]",6
"WBS: ОКС 1376П - Куст-80.2.2.1.16 Сети технологические дренажные, Сети электрические (АС)","[['WBS: ОКС 1376П - Куст-80.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.2.2 2-подэтап', 'WBS: ОКС 1376П - Куст-80.2.2.1.16 Сети технологические дренажные, Сети электрические (АС)']]",2
WBS: ОКС 1376П - Куст-80.2.2.1.18 Сети электрические (ЭМ),"[['WBS: ОКС 1376П - Куст-80.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.2.1 1-подэтап', 'WBS: ОКС 1376П - Куст-80.2.2.1.18 Сети электрические (ЭМ)']]",1
WBS: ОКС 1376П - Куст-80.2.2.1.4 Высоконапорный водовод ( 168х10) ЛТ,"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.2.1.4 Высоконапорный водовод ( 168х10) ЛТ']",1
"WBS: ОКС 1376П - Куст-80.2.2.1.7 Высоконапорный водовод (168х10), участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (ЛТ)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.2.1.7 Высоконапорный водовод (168х10), участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (ЛТ)']",4
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)']",2
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)']",5
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К77","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К77']",6
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К80","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К80']",4
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (114х8, 168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)']",3
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)']",5
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)']",5
"WBS: ОКС 1376П - Куст-80.2.3.1.11 Высоконапорный водовод, участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (АС)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.11 Высоконапорный водовод, участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (АС)']",6
"WBS: ОКС 1376П - Куст-80.2.3.1.12 Высоконапорный водовод (168х10), участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (ЛТ)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.12 Высоконапорный водовод (168х10), участок узел 31/1376 (Куст 80) - узел14/1376 (Куст 81) (ЛТ)']",9
"WBS: ОКС 1376П - Куст-80.2.3.1.12 Высоконапорный водовод (89х8),  узел14/1376 (Куст 81) - Куст 81 - (ЛТ)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.12 Высоконапорный водовод (89х8),  узел14/1376 (Куст 81) - Куст 81 - (ЛТ)']",5
"WBS: ОКС 1376П - Куст-80.2.3.1.2 Нефтегазопровод, высоконапорный водовод (ЛТ)","[['WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1 1-подэтап', 'WBS: ОКС 1376П - Куст-80.2.3.1.2 Нефтегазопровод, высоконапорный водовод (ЛТ)']]",2
WBS: ОКС 1376П - Куст-80.2.3.1.5 Узел приема очистного устройства (ТН),"['WBS: ОКС 1376П - Куст-80.2 Строительно-монтажные работы', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1.5 Узел приема очистного устройства (ТН)']",4
WBS: ОКС 1376П - Куст-80.2.3.1.6 Узел запуска очистного устройства (ТН),"[['WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1 1-подэтап', 'WBS: ОКС 1376П - Куст-80.2.3.1.6 Узел запуска очистного устройства (ТН)']]",2
WBS: ОКС 1376П - Куст-80.2.3.1.8 Узел приема очистного устройства (ТН),"[['WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-80.2.3.1 1-подэтап', 'WBS: ОКС 1376П - Куст-80.2.3.1.8 Узел приема очистного устройства (ТН)']]",2
WBS: ОКС 1376П - Куст-81.2.2.1.17 Сети связи (СС),"['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'WBS: ОКС 1376П - Куст-81.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-81.2.2.1.17 Сети связи (СС)']",1
WBS: ОКС 1376П - Куст-81.2.2.2.8 Сети контроля и автоматизации (КА),"['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'WBS: ОКС 1376П - Куст-81.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-81.2.2.2.8 Сети контроля и автоматизации (КА)']",1
"WBS: ОКС 1376П - Куст-81.2.3.1.3.2 Высоконапорный водовод Ду 114х8 (ЛТ), узел 14/1376 - узел 15/1376","['WBS: ОКС 1376П - Куст-81.2 Строительно-монтажные работы', 'WBS: ОКС 1376П - Куст-81.2.3.1 1-подэтап', 'WBS: ОКС 1376П - Куст-81.2.3.1.3.2 Высоконапорный водовод Ду 114х8 (ЛТ), узел 14/1376 - узел 15/1376']",2
"WBS: ОКС 1376П - Куст-81.2.3.1.6.3 Узел задвижек 14, высоконапорный водовод (ТН)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-81.2.3.1.6.3 Узел задвижек 14, высоконапорный водовод (ТН)']",5
WBS: ОКС 1376П - Куст-81.2.4.1.1 Электрическая воздушная линия 10кВ (АСЭ),"['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'WBS: ОКС 1376П - Куст-81.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-81.2.4.1.1 Электрическая воздушная линия 10кВ (АСЭ)']",5
WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),"['WBS: ОКС 1376П - Куст-81.2 Строительно-монтажные работы', 'WBS: ОКС 1376П - Куст-81.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС)']",1
WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),"['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'WBS: ОКС 1376П - Куст-81.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС)']",3
WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),"[['WBS: ОКС 1376П - Куст-81.2 Строительно-монтажные работы', 'WBS: ОКС 1376П - Куст-81.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС)']]",1
WBS: ОКС 1376П - Куст-89.2.2.1.13 Сети связи (ССП),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.13 Сети связи (ССП)']",1
"WBS: ОКС 1376П - Куст-89.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)']",3
WBS: ОКС 1376П - Куст-89.2.2.1.15 Блок напорной гребенки (АС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.15 Блок напорной гребенки (АС)']",2
"WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)']",17
"WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС) 1 этап","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС) 1 этап']",2
WBS: ОКС 1376П - Куст-89.2.2.1.16 Сети связи (СС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.16 Сети связи (СС)']",4
WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети технологические (ТХ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети технологические (ТХ)']",1
WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети технологические (ТХ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2.1 2-подэтап', 'WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети технологические (ТХ)']",2
WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети электрические (ЭМ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети электрические (ЭМ)']",20
WBS: ОКС 1376П - Куст-89.2.2.1.18 Сети охранного телевидения (СОТ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.18 Сети охранного телевидения (СОТ)']",2
WBS: ОКС 1376П - Куст-89.2.2.1.19 Сети пожарной сигнализации (ОПС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.19 Сети пожарной сигнализации (ОПС)']",1
WBS: ОКС 1376П - Куст-89.2.2.1.2 Установка измерительная (Блок технологический) (АС),"['ОКС 1376П - Куст №89. Уровень 4', 'Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.2 Установка измерительная (Блок технологический) (АС)']",4
WBS: ОКС 1376П - Куст-89.2.2.1.2 Установка измерительная (Блок технологический) (АС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.2 Установка измерительная (Блок технологический) (АС)']",8
WBS: ОКС 1376П - Куст-89.2.2.1.20 Радиоканал передачи данных (СС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.20 Радиоканал передачи данных (СС)']",1
WBS: ОКС 1376П - Куст-89.2.2.1.21 Сети контроля и автоматизации (КА),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.21 Сети контроля и автоматизации (КА)']",2
"WBS: ОКС 1376П - Куст-89.2.2.1.3 Емкость дренажная, V=8м3 (АС)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.3 Емкость дренажная, V=8м3 (АС)']",6
"WBS: ОКС 1376П - Куст-89.2.2.1.3 Мачта прожекторная 14.1,14.2","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.3 Мачта прожекторная 14.1,14.2']",2
"WBS: ОКС 1376П - Куст-89.2.2.1.4 Емкость дренажная, V=8м3 (НК)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.4 Емкость дренажная, V=8м3 (НК)']",1
"WBS: ОКС 1376П - Куст-89.2.2.1.6 Площадка механизированной добычи, установка измерительная (Блок контроля и управления) (АС)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.6 Площадка механизированной добычи, установка измерительная (Блок контроля и управления) (АС)']",2
WBS: ОКС 1376П - Куст-89.2.2.1.7 Прожекторная мачта (АС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.7 Прожекторная мачта (АС)']",6
"WBS: ОКС 1376П - Куст-89.2.2.2.4 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.2.4 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)']",4
"WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)","['ОКС 1376П - Куст №89. Уровень 4', 'Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",3
"WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-80 ОКС 1376П - Куст №80. Уровень 4', 'WBS: ОКС 1376П - Куст-80.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",1
"WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",12
WBS: ОКС 1376П - Куст-89.2.2.2.6 Сети электрические (ЭМ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.2.6 Сети электрические (ЭМ)']",7
WBS: ОКС 1376П - Куст-89.2.4.1.1 Электрическая воздушная линия 10кВ (АСЭ),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-89.2.4.1.1 Электрическая воздушная линия 10кВ (АСЭ)']",7
WBS: ОКС 1376П - Куст-89.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.4 Высоковольтная линия', 'WBS: ОКС 1376П - Куст-89.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС)']",5
WBS: ОКС 1376П - Куст-93.2.2.1.12 Сети технологические дренажные (ИК),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.12 Сети технологические дренажные (ИК)']",4
"WBS: ОКС 1376П - Куст-93.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)","['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2.1 1-подэтап']",2
"WBS: ОКС 1376П - Куст-93.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)']",3
"WBS: ОКС 1376П - Куст-93.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2.1 1-подэтап']",3
"WBS: ОКС 1376П - Куст-93.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)']",14
WBS: ОКС 1376П - Куст-93.2.2.1.17 Сети электрические (ЭМ),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.17 Сети электрические (ЭМ)']",19
WBS: ОКС 1376П - Куст-93.2.2.1.18 Сети электрические (КА),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.18 Сети электрические (КА)']",1
WBS: ОКС 1376П - Куст-93.2.2.1.19 Сети пожарной сигнализации (ПС),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.19 Сети пожарной сигнализации (ПС)']",3
WBS: ОКС 1376П - Куст-93.2.2.1.2 Установка измерительная (Блок технологический) (АС),"['Проект: ОКС 1376П - Куст-81 ОКС 1376П - Куст №81. Уровень 4', 'Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2.1 1-подэтап']",2
WBS: ОКС 1376П - Куст-93.2.2.1.2 Установка измерительная (Блок технологический) (АС),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.2 Установка измерительная (Блок технологический) (АС)']",6
WBS: ОКС 1376П - Куст-93.2.2.1.21 Сети контроля и автоматизации (КА),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.21 Сети контроля и автоматизации (КА)']",3
"WBS: ОКС 1376П - Куст-93.2.2.1.3 Емкость дренажная, V=8м3 (АС)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.3 Емкость дренажная, V=8м3 (АС)']",7
"WBS: ОКС 1376П - Куст-93.2.2.1.4 Емкость дренажная, V=8м3 (НК)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.4 Емкость дренажная, V=8м3 (НК)']",4
WBS: ОКС 1376П - Куст-93.2.2.1.5 Трансформаторная подстанция (ЭМ),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.5 Трансформаторная подстанция (ЭМ)']",1
"WBS: ОКС 1376П - Куст-93.2.2.1.6 Площадка механизированной добычи, установка измерительная (Блок контроля и управления) (АС)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.6 Площадка механизированной добычи, установка измерительная (Блок контроля и управления) (АС)']",8
WBS: ОКС 1376П - Куст-93.2.2.1.7 Прожекторная мачта (АС),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.7 Прожекторная мачта (АС)']",4
WBS: ОКС 1376П - Куст-93.2.2.1.8 Прожекторная мачта (ЭМ),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.8 Прожекторная мачта (ЭМ)']",1
"WBS: ОКС 1376П - Куст-93.2.2.2.4 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.2.4 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)']",3
"WBS: ОКС 1376П - Куст-93.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)","['WBS: ОКС 1376П - Куст-93.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-93.2.3.1 1-подэтап', 'WBS: ОКС 1376П - Куст-93.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",4
"WBS: ОКС 1376П - Куст-93.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)","['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",8
WBS: ОКС 1376П - Куст-93.2.2.2.6 Сети электрические (ЭМ),"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2.2 2-подэтап', 'WBS: ОКС 1376П - Куст-93.2.2.2.6 Сети электрические (ЭМ)']",3
