group	file	keywords
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ПСП
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	НН
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Лист
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ЦПС
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СМГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название работы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название работы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название задачи
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название задачи
