,Unnamed: 0,group,file,guid_count,body
5753,639,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка_СМГ_ обустройство АРГОС-31.01.2018 (853 проект).xlsb,1,['id']
5754,640,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка_СМГ_ обустройство АРГОС-31.01.2018 (866 проект).xlsb,1,['идентификатор guid ']
5755,641,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка_СМР_энергетика_Премьерстрой_31.01.2018 (Проект 29-16).xlsb,1,['идентификатор guid ']
5756,642,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка_СМР_энергетика_Премьерстрой_31.01.2018 (Проект 853).xlsb,1,['индефикаторguid']
5757,643,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка_СМР_энергетика_Премьерстрой_31.01.2018 (Проект 866).xlsb,1,['идентификатор guid ']
5758,633,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ по обустройству_Премьерстрой_31.01.2018 (проект 866).xlsb,1,['идентификатор guid ']
5759,645,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Евракор_31.10.2018 (проект 108.17).xlsb,1,['идентификатор guid ']
5760,647,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Евракор_31.10.2018 (проект 1376).xlsb,1,['идентификатор guid ']
5761,648,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Евракор_31.10.2018 (проект 2916).xlsb,1,['идентификатор guid ']
5762,649,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Евракор_31.10.2018 (проект 866).xlsb,1,['идентификатор guid ']
5763,650,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Премьерстрой_31.10.2018 (Проект 1376).xlsb,1,['идентификатор guid ']
5764,651,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Премьерстрой_31.10.2018 (проект 2916).xlsb,1,['идентификатор guid ']
5765,652,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Премьерстрой_31.10.2018 (проект 866).xlsb,1,['идентификатор guid ']
5766,653,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по проекту Газопровод_Евракор_31.10.2018.xlsb,1,['идентификатор guid ']
5767,654,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по проекту КС с УПГ_Премьерстрой_31.10.2018.xlsb,1,['идентификатор guid ']
5768,646,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ по Обустройству_Евракор_31.10.2018 (проект 1375).xlsb,1,['идентификатор guid ']
5769,655,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ_энергетика Премьерстрой_на 31.10.2018 (проект 108)..xlsb,1,['идентификатор guid ']
5770,632,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ по обустройству_Евракор_31.01.2018 (проект 866).xlsb,1,['идентификатор guid ']
5771,630,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ ОБП ВЖК ВегаТраст 31.01.2018.xlsb,1,['идентификатор guid ']
5773,605,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка СМР по ЦПС 28.02.17.xlsx,1,['идентификатор guid ']
5774,606,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка СМР ПСП Велесстрой 28.02.2017.xlsx,1,['идентификатор guid ']
5775,608,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка_СМР_обустройство_ПремьерСтрой _28 02 2017_(Проект 866).xlsx,1,['идентификатор guid ']
5776,609,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка_СМР_энергетика_Евракор 28 02 2017_(Проект 853).xlsx,1,['индефикаторguid']
5777,610,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка_СМР_энергетика_Евракор 28 02 2017_(Проект 866).xlsx,1,['идентификатор guid ']
5778,611,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка_СМР_энергетика_ПремьерСтрой_ 28 02 2017_(Проект 853).xlsb,1,['индефикаторguid']
5779,612,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка_СМР_энергетика_ПремьерСтрой_ 28 02 2017_(Проект 866).xlsx,1,['идентификатор guid ']
5780,631,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ ОБП ВЖК ПС 31.01.2018.xlsb,1,['идентификатор guid ']
5781,615,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка СМР ВЗ Евракор 31.01.2017.xlsx,1,['идентификатор guid ']
5782,619,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка СМР ПСП Велесстрой 31.01.2017.xlsx,1,['идентификатор guid ']
5783,622,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка_СМР_обустройство_ПремьерСтрой_ 31 01 2017_(Проект 866).xlsx,1,['id']
5784,623,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка_СМР_энергетика_Евракор 31 01 2017_(Проект 853).xlsx,1,['индефикаторguid']
5785,624,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка_СМР_энергетика_Евракор 31 01 2017_(Проект 866).xlsx,1,['индефикаторguid']
5786,625,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка_СМР_энергетика_ПремьерСтрой _31 01 2017_(Проект 866).xlsx,1,['индефикаторguid']
5787,626,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Январь\Сводки СМР за 31.01.2017\Сводка_СМР_энергетика_ПремьерСтрой_ 31 01 2017_(Проект 853).xlsx,1,['индефикаторguid']
5788,628,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\1. Январь\Сводки СМР за 31.01.2018\Сводка СМГ Инжиниринг ОБП ВЖК 31.01.2018.xlsb,1,['идентификатор guid ']
