,group,file,guid_count,body
4667,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 06.01.17\СМГ Ш- ВКС-СПС 06.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4643,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 29.12.16\СМГ Ш- ВКС-СПС 29.12.2016г проверил инженер НТН Семянников К В.xlsx,0,
4668,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 06.01.17\СМГ Ш-ГКС-СПС 06.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4670,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 07.01.17\СМГ Ш- ВКС-СПС 07.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4693,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 15.01.17\СМГ ЗЛМ-ВКС-СПС 15.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4692,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 14.01.17\СМГ Ш-ГКС-СПС 14.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4691,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 14.01.17\СМГ Ш- ВКС-СПС 14.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4690,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 14.01.17\СМГ ЗЛМ-ВКС-СПС 14.01.2017г Проверил инженер НТН Крухов СА..xlsx,0,
4689,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 13.01.17\СМГ Ш-ГКС-СПС 13.01.2017г проверил инженер НТН Пермяков А.В..xlsx,0,
4688,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 13.01.17\СМГ Ш- ВКС-СПС 13.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
